VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE,SOURCE_FILE
20230901,WB,Rates,Dynamic_Rho,76.0,-76.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_01.csv
20230901,WB,Equity,Volatility,0.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_01.csv
20230901,DBIB,New_Business_Model_Change,,0.0,0.0,table_Re_ Test Daily Hedging P&L Summary for DBIB 2023_09_01.csv
20230901,WB,Credit,Credit,-1.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_01.csv
20230901,WB,ILP,,0.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_01.csv
20230901,DBIB,Rates,Dynamic_Rho,48.0,-49.0,table_Re_ Test Daily Hedging P&L Summary for DBIB 2023_09_01.csv
20230901,DBIB,Equity,Volatility,0.0,0.0,table_Re_ Test Daily Hedging P&L Summary for DBIB 2023_09_01.csv
20230901,DBIB,Credit,Credit,0.0,0.0,table_Re_ Test Daily Hedging P&L Summary for DBIB 2023_09_01.csv
20230901,DBIB,ILP,,0.0,0.0,table_Re_ Test Daily Hedging P&L Summary for DBIB 2023_09_01.csv
20230901,DBIB,ALSO,,0.0,0.0,table_Re_ Test Daily Hedging P&L Summary for DBIB 2023_09_01.csv
20230901,DBIB,Equity,Gamma,0.0,0.0,table_Re_ Test Daily Hedging P&L Summary for DBIB 2023_09_01.csv
20230901,DBIB,Fees,,0.0,1.0,table_Re_ Test Daily Hedging P&L Summary for DBIB 2023_09_01.csv
20230901,DBIB,Other_Unhedged,,3.0,0.0,table_Re_ Test Daily Hedging P&L Summary for DBIB 2023_09_01.csv
20230901,DBIB,Theta_Carry,,-1.0,1.0,table_Re_ Test Daily Hedging P&L Summary for DBIB 2023_09_01.csv
20230901,DBIB,Underlying_Fund,,0.0,0.0,table_Re_ Test Daily Hedging P&L Summary for DBIB 2023_09_01.csv
20230901,WB,New_Business_Model_Change,,0.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_01.csv
20230901,WB,Other_Unhedged,,-2.0,0.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_01.csv
20230901,WB,Underlying_Fund,,3.0,-2.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_01.csv
20230901,WB,Theta_Carry,,-1.0,2.0,table_TEST Daily Hedging P&L Summary for WB 2023_09_01.csv
