VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20250226,WB,Equity,Delta,8.401933,-6.585004
20250226,WB,Equity,Gamma_Residual,0.503197,0.0
20250226,WB,Interest_Rate,Rho,-39.279635,38.951334
20250226,WB,Interest_Rate,Convexity_Residual,-0.134842,0.204421
20250226,WB,Interest_Rate,Basis,0.0,-0.446887
20250226,WB,Credit,HY_Total,0.772405,-0.948003
20250226,WB,Credit,AGG_Credit,-2.045603,0.187967
20250226,WB,Credit,Agg_Risk_Free_Growth,-0.361739,0.0
20250226,WB,Credit,ILP_Update,0.0,0.0
20250226,WB,Fund_Basis_Fund_Mapping,,3.781075,-3.138833
20250226,WB,Passage_Of_Time,,-1.522794,1.522794
20250226,WB,Other_Inforce,,-1.419254,0.0
20250226,WB,New_Business,,0.096598,0.0
20250226,WB,Cross_Impact_True_up,,0.546741,0.0
20250226,DBIB,Equity,Delta,2.385109,-2.243771
20250226,DBIB,Equity,Gamma_Residual,0.277389,0.0
20250226,DBIB,Interest_Rate,Rho,-22.959299,22.766172
20250226,DBIB,Interest_Rate,Convexity_Residual,-0.180817,0.074725
20250226,DBIB,Interest_Rate,Basis,0.0,-0.066452
20250226,DBIB,Credit,HY_Total,0.266735,-0.374531
20250226,DBIB,Credit,AGG_Credit,-0.176714,0.0
20250226,DBIB,Credit,Agg_Risk_Free_Growth,-0.053586,0.0
20250226,DBIB,Credit,ILP_Update,0.0,0.0
20250226,DBIB,Fund_Basis_Fund_Mapping,,1.839148,-0.628861
20250226,DBIB,Passage_Of_Time,,-0.062469,0.062469
20250226,DBIB,Other_Inforce,,0.125405,0.0
20250226,DBIB,New_Business,,-0.037207,0.0
20250226,DBIB,Cross_Impact_True_up,,-0.888567,0.0
