VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20231121,DBIB,Equity,Delta,-5,5
20231121,DBIB,Equity,Gamma,0,0
20231121,DBIB,Equity,Volatility,0,0
20231121,DBIB,Rates,Dynamic_Rho,4,-3
20231121,DBIB,Credit,Credit,0,0
20231121,DBIB,Underlying_Fund,,-2,2
20231121,DBIB,Theta_Carry,,-1,0
20231121,DBIB,Other_Unhedged,,0,0
20231121,DBIB,Fees,,0,1
20231121,DBIB,ALSO,,0,0
20231121,DBIB,ILP,,0,0
20231121,DBIB,New_Business_Model_Change,,0,0
20240924,WB,Equity,Delta,15.766826,-15.560794
20240924,WB,Equity,Gamma_Residual,0.437413,-0.182815
20240924,WB,Interest_Rate,Rho,7.237427,-6.986845
20240924,WB,Interest_Rate,Convexity_Residual,0.110198,0.006446
20240924,WB,Interest_Rate,Basis,0.0,1.130246
20240924,WB,Credit,HY_Total,-0.151033,0.037363
20240924,WB,Credit,AGG_Credit,3.494862,-0.231067
20240924,WB,Credit,Agg_Risk_Free_Growth,-0.450794,0.0
20240924,WB,Credit,ILP_Update,0.0,0.0
20240924,WB,Fund_Basis_Fund_Mapping,,7.275947,-5.04777
20240924,WB,Passage_Of_Time,,-1.559555,1.552092
20240924,WB,Other_Inforce,,-2.229681,0.0
20240924,WB,New_Business,,0.160555,0.0
20240924,WB,Cross_Impact_True_up,,-0.77052,0.0
20240924,DBIB,Equity,Delta,3.986442,-3.985139
20240924,DBIB,Equity,Gamma_Residual,0.302813,-0.107742
20240924,DBIB,Interest_Rate,Rho,4.050991,-3.829304
20240924,DBIB,Interest_Rate,Convexity_Residual,0.039169,-0.00639
20240924,DBIB,Interest_Rate,Basis,0.0,0.970958
20240924,DBIB,Credit,HY_Total,-0.047603,0.012047
20240924,DBIB,Credit,AGG_Credit,0.49583,0.0
20240924,DBIB,Credit,Agg_Risk_Free_Growth,-0.068247,0.0
20240924,DBIB,Credit,ILP_Update,0.0,0.0
20240924,DBIB,Fund_Basis_Fund_Mapping,,1.489658,-1.971384
20240924,DBIB,Passage_Of_Time,,-0.171166,-0.124969
20240924,DBIB,Other_Inforce,,-1.041607,0.0
20240924,DBIB,New_Business,,-0.123421,0.0
20240924,DBIB,Cross_Impact_True_up,,0.912225,-0.0
20241002,WB,Equity,Delta,-10.802767,9.791842
20241002,WB,Equity,Gamma_Residual,0.496356,-0.191557
20241002,WB,Interest_Rate,Rho,47.614258,-47.440752
20241002,WB,Interest_Rate,Convexity_Residual,-0.144893,0.0254
20241002,WB,Interest_Rate,Basis,0.0,-0.068665
20241002,WB,Credit,HY_Total,-0.244023,0.375361
20241002,WB,Credit,AGG_Credit,1.550388,-0.131722
20241002,WB,Credit,Agg_Risk_Free_Growth,-0.44519,0.0
20241002,WB,Credit,ILP_Update,0.0,0.0
20241002,WB,Fund_Basis_Fund_Mapping,,16.497428,-8.22334
20241002,WB,Passage_Of_Time,,-1.522105,1.511223
20241002,WB,Other_Inforce,,-3.148134,0.0
20241002,WB,New_Business,,0.474374,0.0
20241002,WB,Cross_Impact_True_up,,-0.297929,-2e-06
20241002,DBIB,Equity,Delta,-2.470389,2.413841
20241002,DBIB,Equity,Gamma_Residual,0.252223,-0.113098
20241002,DBIB,Interest_Rate,Rho,28.484656,-28.325439
20241002,DBIB,Interest_Rate,Convexity_Residual,-0.148505,-0.052202
20241002,DBIB,Interest_Rate,Basis,0.0,0.262364
20241002,DBIB,Credit,HY_Total,-0.083739,0.119481
20241002,DBIB,Credit,AGG_Credit,0.110154,0.0
20241002,DBIB,Credit,Agg_Risk_Free_Growth,-0.064542,0.0
20241002,DBIB,Credit,ILP_Update,0.0,0.0
20241002,DBIB,Fund_Basis_Fund_Mapping,,3.403703,-1.521941
20241002,DBIB,Passage_Of_Time,,-0.176694,-0.122848
20241002,DBIB,Other_Inforce,,3.009179,0.0
20241002,DBIB,New_Business,,-0.026682,0.0
20241002,DBIB,Cross_Impact_True_up,,-0.389809,-1e-06
20250306,WB,Equity,Delta,-48.047548,51.573588
20250306,WB,Equity,Gamma_Residual,0.087553,0.0
20250306,WB,Interest_Rate,Rho,20.191007,-20.636741
20250306,WB,Interest_Rate,Convexity_Residual,0.095591,-0.007896
20250306,WB,Interest_Rate,Basis,0.0,0.354998
20250306,WB,Credit,HY_Total,-1.262668,1.071458
20250306,WB,Credit,AGG_Credit,0.932249,-0.094456
20250306,WB,Credit,Agg_Risk_Free_Growth,-0.373538,0.0
20250306,WB,Credit,ILP_Update,0.0,0.0
20250306,WB,Fund_Basis_Fund_Mapping,,-26.830697,2.013247
20250306,WB,Passage_Of_Time,,-1.502584,1.502584
20250306,WB,Other_Inforce,,-0.422567,0.0
20250306,WB,New_Business,,0.332789,0.0
20250306,WB,Cross_Impact_True_up,,0.197672,0.0
20250306,DBIB,Equity,Delta,-16.574223,17.159267
20250306,DBIB,Equity,Gamma_Residual,-0.020947,0.0
20250306,DBIB,Interest_Rate,Rho,11.470963,-11.909561
20250306,DBIB,Interest_Rate,Convexity_Residual,-0.011609,-0.0411
20250306,DBIB,Interest_Rate,Basis,0.0,0.259364
20250306,DBIB,Credit,HY_Total,-0.435669,0.422614
20250306,DBIB,Credit,AGG_Credit,0.103694,0.0
20250306,DBIB,Credit,Agg_Risk_Free_Growth,-0.058605,0.0
20250306,DBIB,Credit,ILP_Update,0.0,0.0
20250306,DBIB,Fund_Basis_Fund_Mapping,,-9.782422,2.636884
20250306,DBIB,Passage_Of_Time,,-0.119907,0.119907
20250306,DBIB,Other_Inforce,,-0.052162,0.0
20250306,DBIB,New_Business,,-0.023806,0.0
20250306,DBIB,Cross_Impact_True_up,,-0.616624,0.0
20250516,WB,Equity,Delta,22.009252,-20.922661
20250516,WB,Equity,Gamma_Residual,0.27306,0.0
20250516,WB,Interest_Rate,Rho,-16.200243,16.030995
20250516,WB,Interest_Rate,Convexity_Residual,-0.446596,0.316889
20250516,WB,Interest_Rate,Basis,0.0,-0.549773
20250516,WB,Credit,HY_Total,0.466106,-0.332662
20250516,WB,Credit,AGG_Credit,-1.397861,0.198824
20250516,WB,Credit,Agg_Risk_Free_Growth,-0.374,0.0
20250516,WB,Credit,ILP_Update,0.0,0.0
20250516,WB,Fund_Basis_Fund_Mapping,,1.095683,2.169729
20250516,WB,Passage_Of_Time,,-1.359949,1.359949
20250516,WB,Other_Inforce,,-2.489176,0.0
20250516,WB,New_Business,,0.502324,0.0
20250516,WB,Cross_Impact_True_up,,-0.412387,0.0
20250516,DBIB,Equity,Delta,8.047947,-7.616521
20250516,DBIB,Equity,Gamma_Residual,0.188701,0.0
20250516,DBIB,Interest_Rate,Rho,-8.163278,8.13787
20250516,DBIB,Interest_Rate,Convexity_Residual,-0.331989,0.219231
20250516,DBIB,Interest_Rate,Basis,0.0,-0.67182
20250516,DBIB,Credit,HY_Total,0.172438,-0.116164
20250516,DBIB,Credit,AGG_Credit,-0.174247,0.0
20250516,DBIB,Credit,Agg_Risk_Free_Growth,-0.05605,0.0
20250516,DBIB,Credit,ILP_Update,0.0,0.0
20250516,DBIB,Fund_Basis_Fund_Mapping,,0.240203,0.812476
20250516,DBIB,Passage_Of_Time,,-0.113824,0.113824
20250516,DBIB,Other_Inforce,,0.243817,0.0
20250516,DBIB,New_Business,,0.007587,0.0
20250516,DBIB,Cross_Impact_True_up,,0.096505,0.0
