VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240711,DBIB,Equity,Delta,3.6,-3.6
20240711,DBIB,Equity,Gamma_Residual,0.4,0.0
20240711,DBIB,Interest_Rate,Rho,-37.8,37.5
20240711,DBIB,Interest_Rate,Convexity_Residual,-0.4,0.5
20240711,DBIB,Interest_Rate,Basis,0.0,1.1
20240711,DBIB,Credit,HY_Total,0.4,-0.5
20240711,DBIB,Credit,AGG_Credit,0.1,0.0
20240711,DBIB,Credit,Agg_Risk_Free_Growth,-0.1,0.0
20240711,DBIB,Credit,ILP_Update,0.0,0.0
20240711,DBIB,Fund_Basis_Fund_Mapping,,-4.9,3.7
20240711,DBIB,Passage_Of_Time,,-0.2,-0.1
20240711,DBIB,Other_Inforce,,0.4,0.0
20240711,DBIB,New_Business,,0.0,0.0
20240711,DBIB,Cross_Impact_True_up,,0.2,0.0
