VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240628,WB,Equity,Delta,-10.4,11.5
20240628,WB,Equity,Gamma_Residual,0.8,0.0
20240628,WB,Interest_Rate,Rho,64.3,-63.7
20240628,WB,Interest_Rate,Convexity_Residual,-0.4,0.2
20240628,WB,Interest_Rate,Basis,0.0,1.5
20240628,WB,Credit,HY_Total,0.2,0.1
20240628,WB,Credit,AGG_Credit,-4.0,0.3
20240628,WB,Credit,Agg_Risk_Free_Growth,-0.5,0.0
20240628,WB,Credit,ILP_Update,1.3,0.0
20240628,WB,Fund_Basis_Fund_Mapping,,1.6,-0.5
20240628,WB,Passage_Of_Time,,-2.4,2.5
20240628,WB,Other_Inforce,,-10.0,0.0
20240628,WB,New_Business,,0.1,0.0
20240628,WB,Cross_Impact_True_up,,0.1,0.0
