VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20250430,WB,Equity,Delta,5.890367,-6.617976
20250430,WB,Equity,Gamma_Residual,0.270395,-0.009686
20250430,WB,Interest_Rate,Rho,25.618997,-25.442153
20250430,WB,Interest_Rate,Convexity_Residual,-0.227782,0.204649
20250430,WB,Interest_Rate,Basis,0.0,1.588741
20250430,WB,Credit,HY_Total,-1.309765,1.380526
20250430,WB,Credit,AGG_Credit,-0.145819,-0.063562
20250430,WB,Credit,Agg_Risk_Free_Growth,-0.470901,0.0
20250430,WB,Credit,ILP_Update,2.358808,0.0
20250430,WB,Fund_Basis_Fund_Mapping,,-1.254603,-0.883748
20250430,WB,Passage_Of_Time,,-1.575425,1.575425
20250430,WB,Other_Inforce,,-0.891023,0.0
20250430,WB,New_Business,,0.082108,0.0
20250430,WB,Cross_Impact_True_up,,0.537644,-1e-06
20250430,DBIB,Equity,Delta,1.805932,-1.677075
20250430,DBIB,Equity,Gamma_Residual,0.247483,-0.012315
20250430,DBIB,Interest_Rate,Rho,11.994381,-11.419683
20250430,DBIB,Interest_Rate,Convexity_Residual,-0.28772,0.065667
20250430,DBIB,Interest_Rate,Basis,0.0,1.309017
20250430,DBIB,Credit,HY_Total,-0.48887,0.482504
20250430,DBIB,Credit,AGG_Credit,-0.051718,0.0
20250430,DBIB,Credit,Agg_Risk_Free_Growth,-0.065571,0.0
20250430,DBIB,Credit,ILP_Update,1.722037,0.0
20250430,DBIB,Fund_Basis_Fund_Mapping,,0.393075,0.121027
20250430,DBIB,Passage_Of_Time,,-0.087371,0.087371
20250430,DBIB,Other_Inforce,,-0.597665,0.0
20250430,DBIB,New_Business,,-0.021172,0.0
20250430,DBIB,Cross_Impact_True_up,,0.280412,-5e-06
