VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240422,DBIB,Equity,Delta,12.7,-13.4
20240422,DBIB,Equity,Gamma_Residual,0.2,-0.5
20240422,DBIB,Interest_Rate,Rho,5.2,-5.2
20240422,DBIB,Interest_Rate,Convexity_Residual,-0.0,0.1
20240422,DBIB,Interest_Rate,Basis,0.0,0.0
20240422,DBIB,Credit,HY_Total,0.4,-0.5
20240422,DBIB,Credit,AGG_Credit,0.4,0.0
20240422,DBIB,Credit,Agg_Risk_Free_Growth,-0.2,0.0
20240422,DBIB,Credit,ILP_Update,0.0,0.0
20240422,DBIB,Fund_Basis_Fund_Mapping,,1.5,-0.5
20240422,DBIB,Passage_Of_Time,,-0.7,-0.2
20240422,DBIB,Other_Inforce,,0.6,1.0
20240422,DBIB,New_Business,,0.0,0.0
20240422,DBIB,Cross_Impact_True_up,,-0.9,0.0
