VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240501,WB,Equity,,-16.1,19.1
20240501,WB,Equity,Delta,-16.9,19.2
20240501,WB,Equity,Gamma_Residual,0.8,-0.1
20240501,WB,Rates,,109.9,-112.8
20240501,WB,Rates,Rho,111.9,-112.4
20240501,WB,Rates,Convexity_Residual,-2.1,1.0
20240501,WB,Rates,Basis,0.0,-1.3
20240501,WB,Credit,,0.2,1.4
20240501,WB,Credit,,-0.8,1.6
20240501,WB,Credit,,1.4,-0.1
20240501,WB,Underlying_Fund,,-0.5,0.0
20240501,WB,ILP,,0.0,0.0
20240501,WB,Underlying_Fund,Basis_Fund,-4.9,-1.3
20240501,WB,Theta_Carry,,-2.6,2.7
20240501,WB,Theta_Carry,Other_Inforce,-1.4,0.0
20240501,WB,New_Business,,0.2,0.0
20240501,WB,Other_Unhedged,Fees,0.2,0.0
